primary_condition_id,train_n_sequences
length=high|net_charge_pH7=high|hydrophobicity_KD=mid,1731
length=low|net_charge_pH7=low|hydrophobicity_KD=high,1536
length=high|net_charge_pH7=high|hydrophobicity_KD=low,1266
length=mid|net_charge_pH7=high|hydrophobicity_KD=low,1260
length=low|net_charge_pH7=mid|hydrophobicity_KD=high,1227
length=mid|net_charge_pH7=mid|hydrophobicity_KD=high,1174
length=low|net_charge_pH7=mid|hydrophobicity_KD=low,1164
length=mid|net_charge_pH7=low|hydrophobicity_KD=high,1099
length=high|net_charge_pH7=low|hydrophobicity_KD=mid,1053
length=high|net_charge_pH7=mid|hydrophobicity_KD=mid,1026
length=mid|net_charge_pH7=high|hydrophobicity_KD=mid,1019
length=low|net_charge_pH7=high|hydrophobicity_KD=low,1006
length=mid|net_charge_pH7=mid|hydrophobicity_KD=mid,923
length=mid|net_charge_pH7=low|hydrophobicity_KD=mid,886
length=low|net_charge_pH7=low|hydrophobicity_KD=low,823
length=high|net_charge_pH7=low|hydrophobicity_KD=high,802
length=mid|net_charge_pH7=mid|hydrophobicity_KD=low,766
length=mid|net_charge_pH7=low|hydrophobicity_KD=low,751
length=mid|net_charge_pH7=high|hydrophobicity_KD=high,738
length=low|net_charge_pH7=mid|hydrophobicity_KD=mid,694
length=high|net_charge_pH7=mid|hydrophobicity_KD=high,682
length=high|net_charge_pH7=high|hydrophobicity_KD=high,624
length=high|net_charge_pH7=low|hydrophobicity_KD=low,619
length=low|net_charge_pH7=low|hydrophobicity_KD=mid,588
length=high|net_charge_pH7=mid|hydrophobicity_KD=low,506
length=low|net_charge_pH7=high|hydrophobicity_KD=high,281
length=low|net_charge_pH7=high|hydrophobicity_KD=mid,241
