figure,panel,similarity_bin,bin_left,bin_right,inclusive_rule,low_risk_bin_under_0p30,final_candidate_count,n_final_candidates_with_finite_nn_similarity,low_risk_threshold,nn_similarity_denominator,model_tag,model_label,threshold,comparison,numerator_outputs_at_or_above_threshold,denominator_finite_nn_evaluated_outputs,fraction_at_or_above_threshold,denominator_definition,panel_role
Supplementary Figure S13,A,<0.10,,0.1,<,True,10.0,12.0,0.3,training set nearest neighbor,,,,,,,,,
Supplementary Figure S13,A,0.10–0.15,0.1,0.15,"[left,right)",True,1.0,12.0,0.3,training set nearest neighbor,,,,,,,,,
Supplementary Figure S13,A,0.15–0.20,0.15,0.2,"[left,right)",True,1.0,12.0,0.3,training set nearest neighbor,,,,,,,,,
Supplementary Figure S13,A,0.20–0.30,0.2,0.3,"[left,right)",True,0.0,12.0,0.3,training set nearest neighbor,,,,,,,,,
Supplementary Figure S13,A,≥0.30,0.3,,>=,False,0.0,12.0,0.3,training set nearest neighbor,,,,,,,,,
Supplementary Figure S13,B,,,,,,,,,,full_cvae,OncoPep,0.1,>= threshold,1416.0,2174.0,0.6513339466421343,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,full_cvae,OncoPep,0.15,>= threshold,742.0,2174.0,0.34130634774609014,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,full_cvae,OncoPep,0.2,>= threshold,398.0,2174.0,0.18307267709291627,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,full_cvae,OncoPep,0.3,>= threshold,86.0,2174.0,0.03955841766329347,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,conditional_gru_lm,GRU-cond,0.1,>= threshold,1452.0,2171.0,0.6688162137263933,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,conditional_gru_lm,GRU-cond,0.15,>= threshold,780.0,2171.0,0.3592814371257485,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,conditional_gru_lm,GRU-cond,0.2,>= threshold,430.0,2171.0,0.19806540764624597,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,conditional_gru_lm,GRU-cond,0.3,>= threshold,109.0,2171.0,0.05020727775218793,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,random_condition,Rand-cond,0.1,>= threshold,1441.0,2171.0,0.6637494242284662,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,random_condition,Rand-cond,0.15,>= threshold,691.0,2171.0,0.31828650391524643,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,random_condition,Rand-cond,0.2,>= threshold,348.0,2171.0,0.16029479502533395,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,random_condition,Rand-cond,0.3,>= threshold,82.0,2171.0,0.037770612620912025,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,no_condition,GRU-uncond,0.1,>= threshold,1434.0,2167.0,0.6617443470235348,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,no_condition,GRU-uncond,0.15,>= threshold,732.0,2167.0,0.3377941855099216,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,no_condition,GRU-uncond,0.2,>= threshold,378.0,2167.0,0.17443470235348407,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,no_condition,GRU-uncond,0.3,>= threshold,74.0,2167.0,0.03414859252422704,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,small_latent,VAE-uncond,0.1,>= threshold,1516.0,2157.0,0.7028280018544274,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,small_latent,VAE-uncond,0.15,>= threshold,740.0,2157.0,0.3430690774223458,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,small_latent,VAE-uncond,0.2,>= threshold,401.0,2157.0,0.18590635141400091,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
Supplementary Figure S13,B,,,,,,,,,,small_latent,VAE-uncond,0.3,>= threshold,79.0,2157.0,0.03662494204914233,per-model outputs with finite nearest-neighbor similarity to training set,"contextual generator-level tail-risk reference, not a new Step 5 benchmark"
